SA2_CODE_2021,SUA_CODE_2021
304041102,3002
304041103,3002
304041104,3002
305011105,3002
305011106,3002
305011107,3002
305011108,3002
305011109,3002
305011110,3002
305011111,3002
305011112,3002
305021113,3002
305021114,3002
305021115,3002
305021116,3002
305021117,3002
305021118,3002
305031119,3002
305031120,3002
305031121,3002
305031122,3002
305031123,3002
305031124,3002
305031125,3002
305031126,3002
305031127,3002
305031128,3002
305031129,3002
305031130,3002
305031131,3002
305041132,3002
305041133,3002
305041134,3002
305041135,3002
305041136,3002
305041137,3002
306011138,3004
306011139,3004
306011140,3004
306011141,3004
306011142,3004
306011143,3004
306021144,3004
306021145,3004
306021146,3004
306021147,3004
306021148,3000
306021149,3004
306021150,3000
306021151,3004
306021152,3004
306021153,3004
306021154,3004
306021155,3004
306021156,3004
306021157,3004
306031158,3000
306031159,3000
306031160,3000
306031161,3000
306031162,3000
306031163,3000
306041164,3000
306041165,3000
306051166,3000
306051167,3000
306051168,3000
306051169,3000
306051170,3000
307011171,3000
307011172,3000
307011173,3000
307011174,3000
307011175,3000
307011176,3000
307011177,3000
307011178,3000
307021179,3000
307021180,3000
307021181,3000
307021182,3000
307021183,3000
307031184,3000
307031185,3000
307031186,3000
307031187,3000
307031188,3000
307031189,3018
308011190,3000
308011191,3000
308011192,3005
308031205,3014
308031206,3000
308031207,3000
308031208,3014
308031209,3014
308031210,3014
308031211,3014
308031212,3000
308031213,3014
308031214,3014
308031215,3014
308031216,3014
308031217,3014
308031218,3000
308031219,3000
308031220,3000
308031221,3000
308031222,3014
308031223,3019
308041528,3000
308041529,3000
308051530,3000
308051531,3006
308051532,3006
308051533,3006
308051534,3006
308051535,3000
308051536,3006
308051537,3006
308051538,3006
308051539,3006
309011224,3007
309011225,3007
309011226,3007
309011227,3007
309011228,3007
309011229,3007
309021230,3007
309021231,3007
309021232,3007
309021233,3007
309021234,3007
309031235,3007
309031236,3007
309031237,3007
309031238,3007
309031239,3007
309031240,3007
309041241,3000
309041242,3000
309051243,3007
309051244,3007
309051245,3007
309061246,3007
309061247,3007
309061248,3007
309061249,3007
309061250,3007
309071251,3007
309071252,3007
309071253,3007
309071254,3000
309071256,3007
309071552,3007
309071553,3007
309071554,3007
309071555,3007
309071556,3007
309071557,3007
309071558,3007
309081259,3007
309081260,3007
309081262,3007
309081559,3007
309081560,3007
309091263,3007
309091264,3007
309091265,3007
309091540,3007
309091541,3007
309101267,3007
309101268,3007
309101269,3007
309101561,3007
309101562,3007
310011271,3002
310011272,3002
310011274,3002
310011275,3002
310011276,3002
310011563,3002
310011564,3002
310021277,3000
310021278,3000
310021279,3000
310021280,3000
310021281,3000
310021282,3002
310031283,3002
310031284,3002
310031285,3002
310031286,3002
310031287,3002
310031288,3002
310031289,3002
310031290,3002
310031291,3002
310031292,3002
310031293,3002
310031294,3002
310031295,3002
310041297,3002
310041298,3002
310041299,3002
310041300,3002
310041301,3002
310041302,3002
310041303,3002
310041304,3002
310041565,3002
310041566,3002
311011305,3002
311021306,3002
311021307,3002
311021308,3002
311021309,3002
311021310,3002
311031311,3002
311031312,3002
311031313,3002
311031314,3002
311031315,3002
311031316,3002
311031317,3002
311031318,3002
311031319,3002
311041322,3002
311041567,3002
311041568,3002
311041569,3002
311041570,3002
311041571,3002
311051323,3002
311051324,3002
311051325,3002
311051326,3002
311051327,3002
311051328,3002
311061329,3002
311061330,3002
311061331,3002
311061332,3002
311061333,3002
311061334,3002
311061335,3002
311061336,3002
312011337,3000
312011338,3000
312011339,3000
312011340,3000
312011341,3000
312021342,3011
312021343,3011
312021344,3011
312021345,3000
312021346,3011
312021347,3011
312021348,3011
312021349,3011
312021350,3011
312021351,3000
312021352,3000
312021353,3000
312021354,3011
312021355,3011
312021356,3011
312021357,3000
312021358,3011
312031359,3001
312031360,3000
312031361,3000
313011362,3002
313011363,3002
313021364,3002
313021366,3002
313021367,3002
313021368,3002
313021369,3002
313021572,3002
313021573,3002
313031370,3000
313031371,3000
313041372,3002
313041373,3002
313041374,3002
313041375,3002
313041376,3002
313051377,3002
313051378,3002
313051379,3002
313051380,3002
313051574,3000
313051575,3002
314011382,3002
314011383,3002
314011384,3002
314011385,3002
314011386,3002
314011387,3002
314021389,3002
314021576,3002
314021577,3002
314021578,3002
314021579,3002
314031391,3002
314031392,3002
314031393,3002
314031394,3002
315011395,3000
315011396,3000
315011397,3000
315011398,3000
315011399,3000
315011400,3000
315011401,3000
315011402,3000
315011403,3000
315021404,3000
315021405,3013
315021406,3000
315021407,3000
315031408,3000
315031409,3000
315031410,3000
315031411,3000
315031412,3000
316011413,3015
316011414,3015
316011415,3015
316011416,3015
316021417,3015
316021418,3015
316021419,3015
316021421,3015
316021422,3015
316021423,3015
316021424,3015
316021580,3015
316021581,3015
316031425,3015
316031426,3015
316031427,3015
316031428,3015
316051434,3015
316051435,3015
316051437,3015
316051438,3015
316051543,3015
316051544,3015
316061439,3015
316061440,3000
316061441,3015
316061442,3015
316061443,3000
316061444,3015
316071545,3015
316071546,3015
316071547,3015
316071548,3015
316081549,3015
317011445,3016
317011446,3016
317011447,3016
317011448,3000
317011449,3016
317011450,3016
317011451,3000
317011452,3016
317011453,3016
317011454,3016
317011455,3016
317011456,3016
317011457,3016
317011458,3016
317011459,3016
318011460,3000
318011461,3000
318011462,3000
318011463,3000
318011464,3000
318011465,3000
318011466,3000
318021467,3017
318021468,3017
318021469,3017
318021470,3017
318021471,3017
318021472,3017
318021474,3017
318021475,3017
318021476,3017
318021477,3017
318021478,3017
318021479,3017
318021480,3017
318021481,3017
318021482,3017
318021483,3000
318021484,3017
318021485,3017
318021486,3000
318021487,3017
318021488,3017
318021489,3000
318021490,3017
318021491,3017
318021582,3017
318021583,3017
319011492,3003
319011493,3003
319011494,3003
319011495,3003
319011496,3003
319011497,3003
319011498,3000
319011499,3000
319011500,3003
319011501,3003
319011502,3003
319021503,3000
319021504,3000
319021505,3010
319021506,3000
319021507,3000
319021508,3000
319021509,3000
319021510,3000
319031511,3000
319031512,3008
319031513,3008
319031514,3000
319031515,3000
319041516,3000
319041517,3009
319041518,3009
319041519,3009
319041520,3009
319041521,3009
319051522,3000
319051523,3012
319051524,3012
319051525,3000
319051526,3012
397979799,3000
399999499,3000
401011001,4001
401011002,4001
401021003,4000
401021004,4001
401021005,4001
401021006,4001
401021007,4001
401021008,4000
401021009,4001
401021010,4001
401031011,4001
401031012,4001
401031013,4001
401041014,4001
401041015,4001
401041016,4001
401051017,4001
401051018,4001
401051019,4001
401061020,4001
401061021,4001
401061022,4001
401071023,4001
401071024,4001
402011025,4001
402011026,4001
402011027,4001
402021028,4001
402021029,4001
402021030,4001
402021031,4001
402021032,4001
402021033,4000
402021034,4001
402021035,4001
402031036,4001
402031038,4001
402031175,4001
402031176,4001
402041039,4001
402041040,4001
402041041,4001
402041042,4001
402041043,4001
402041044,4001
402041046,4001
402041047,4001
402041048,4001
402041171,4001
402041172,4001
402051049,4001
402051050,4001
402051051,4001
402051052,4001
402051053,4001
402051054,4001
402051055,4001
403011056,4001
403011057,4001
403021058,4001
403021059,4001
403021060,4001
403021061,4001
403021062,4001
403021063,4001
403021064,4001
403031065,4001
403031066,4001
403031067,4001
403031068,4001
403031069,4001
403031070,4001
403041071,4001
403041072,4001
403041073,4001
403041074,4001
403041075,4000
403041076,4001
403041077,4001
403041078,4001
403041079,4001
403041080,4001
403041081,4001
403041082,4001
403041083,4001
403041084,4001
403041085,4001
403041086,4001
403041088,4001
403041089,4001
403041177,4001
403041178,4001
404011090,4001
404011091,4001
404011092,4001
404011093,4001
404011094,4001
404011095,4001
404011096,4001
404011097,4001
404021098,4001
404021099,4001
404021100,4001
404021101,4001
404021102,4001
404021103,4001
404031104,4001
404031105,4001
404031106,4001
404031107,4001
404031108,4001
404031109,4001
405011110,4000
405011111,4000
405011112,4000
405011113,4000
405011114,4000
405011115,4000
405021116,4000
405021117,4000
405021118,4000
405021119,4000
405031120,4000
405031121,4000
405031122,4006
405031123,4000
405041124,4000
405041125,4000
405041126,4000
405041127,4000
405041128,4000
406011129,4000
406011130,4000
406011131,4000
406011132,4000
406011133,4005
406011134,4000
406011135,4000
406011136,4008
406011137,4000
406021138,4000
406021139,4000
406021140,4000
406021141,4000
406021142,4004
406021143,4000
407011144,4007
407011145,4000
407011146,4000
407011147,4000
407011148,4007
407011149,4000
407021150,4000
407021151,4000
407021152,4000
407021154,4000
407021155,4000
407021156,4000
407021157,4000
407021158,4000
407021173,4002
407021174,4002
407031159,4000
407031160,4000
407031161,4000
407031162,4000
407031163,4000
407031164,4000
407031165,4003
407031166,4000
407031167,4000
407031168,4000
407031169,4000
407031170,4000
497979799,4000
499999499,4000
501011001,5000
501011003,5004
501011004,5000
501011293,5004
501011294,5004
501021005,5003
501021007,5000
501021008,5003
501021009,5000
501021010,5000
501021011,5003
501021012,5003
501021014,5000
501021015,5003
501021016,5000
501021251,5003
501021252,5003
501021253,5003
501021254,5003
501031017,5000
501031018,5000
501031019,5000
501031020,5000
502011021,5009
