DZN_CODE_2021,AREA_ALBERS_SQKM,SA2_CODE_2021
110898453,92.5181,104021089
110898454,2.6798,104021089
110898455,4.3369,104021089
110898456,3.4801,104021089
110908469,5.3632,104021090
110908470,103.0492,104021090
110918444,127.4459,104021091
110918445,108.4285,104021091
110918446,13.438,104021091
110918447,7.4819,104021091
110918448,13.4468,104021091
110920001,4.06,105011092
110920002,14809.2864,105011092
110928694,42021.642,105011092
110928695,6.5338,105011092
110938700,45543.4135,105011093
110938701,7.9845,105011093
110948711,865.8852,105011094
110948712,11276.468,105011094
110958715,6216.712,105011095
110958716,14999.2903,105011095
110968704,13448.4276,105011096
110968705,11.6504,105011096
110968706,13547.1275,105011096
110968707,2.8128,105011096
110968708,1.1145,105011096
110970001,95.1391,105021097
110970002,74.9762,105021097
110988688,146684.7317,105021098
110998746,1035.5143,105031099
110998747,4558.9896,105031099
110998748,647.0783,105031099
110998749,1199.7776,105031099
110998750,2.8295,105031099
110998751,3029.9438,105031099
111008742,8.9473,105031100
111008743,78.7439,105031100
111010001,12.6547,105031101
111010002,1.9841,105031101
111010003,6.7415,105031101
111010004,4.0533,105031101
111028729,47.209,105031102
111028730,22.227,105031102
111038737,2274.102,105031103
111038738,300.1115,105031103
111038739,1554.3547,105031103
111048724,2939.189,105031104
111048725,473.0372,105031104
111048726,1981.2119,105031104
111050001,3583.1614,105031105
111050002,10.4355,105031105
111058720,2362.6566,105031105
111060001,7.6372,105031106
111060002,1792.0444,105031106
111068754,414.2344,105031106
111068755,256.45,105031106
111068757,1133.0709,105031106
111077020,128.9262,106011107
111077021,38.3686,106011107
111077022,154.1084,106011107
111077023,65.8457,106011107
111077024,5.0373,106011107
111080001,20.5349,106011108
111080002,2.457,106011108
111087055,8.0573,106011108
111087057,3.5867,106011108
111087058,5.2934,106011108
111087060,2.7201,106011108
111087061,11.228,106011108
111087062,15.1038,106011108
111097037,996.959,106011109
111097038,308.4684,106011109
111097039,129.4019,106011109
111097040,47.9913,106011109
111097041,87.6139,106011109
111108028,1067.0278,106011110
111108029,409.2818,106011110
111108030,274.2035,106011110
111108031,6.4834,106011110
111108032,493.0018,106011110
111110001,7.7509,106011111
111117075,14.3226,106011111
111117076,9.7258,106011111
111117077,1.443,106011111
111117078,2.6051,106011111
111117080,50.3134,106011111
111117081,1.1066,106011111
111117082,3.3471,106011111
111128024,43.3933,106011112
111128025,83.8384,106011112
111138020,2528.3714,106011113
111138021,1538.8634,106011113
111147129,25.7735,106021114
111147130,5.4147,106021114
111147131,0.8911,106021114
111167115,9.0569,106021116
111167116,61.4909,106021116
111197246,45.7823,106031119
111197247,22.2677,106031119
111207232,28.1628,106031120
111207233,1.8194,106031120
111217260,21.6928,106031121
111217261,12.5949,106031121
111217262,1.9721,106031121
111217263,3.3578,106031121
111217264,2.9696,106031121
111217265,0.9884,106031121
111217266,2.1814,106031121
111217267,1.7192,106031121
111227196,62.9507,106031122
111227197,3.793,106031122
111227198,1.3769,106031122
111227199,2.3927,106031122
111227200,38.9731,106031122
111237182,163.7933,106031123
111237183,83.6903,106031123
111248035,88.9946,106031124
111248036,115.3218,106031124
111257213,57.5861,106031125
111257214,58.7957,106031125
111257215,5.7117,106031125
111257216,38.7889,106031125
111257217,29.5415,106031125
111257218,77.2686,106031125
111257219,97.4895,106031125
111260001,178.929,106041126
111260002,36.5895,106041126
111260003,46.8779,106041126
111278011,986.0192,106041127
111278012,2039.8139,106041127
111278013,116.6546,106041127
111288008,118.5743,106041128
111298000,3546.6918,106041129
111298001,3.8132,106041129
111298002,270.8476,106041129
111298003,736.4447,106041129
111298004,129.9693,106041129
111298005,3261.1918,106041129
111317440,31.9633,107011131
111317441,10.5875,107011131
111317442,2.4375,107011131
111317443,2.7629,107011131
111317444,2.0608,107011131
111317445,3.655,107011131
111317446,1.387,107011131
111317447,1.7463,107011131
111327425,18.2352,107011132
111327426,5.1831,107011132
111327427,20.8219,107011132
111337480,6.3034,107011133
111337481,4.6833,107011133
111337482,1.9523,107011133
111340001,1.1609,107011134
111340002,0.2047,107011134
111347460,2.6626,107011134
111347461,1.1723,107011134
111347462,1.1405,107011134
111347463,2.8434,107011134
111347464,0.9365,107011134
111347466,1.7592,107011134
111347467,13.2682,107011134
