,UCL_CODE_2016,UCL_NAME_2016,SOSR_CODE_2016,SOSR_NAME_2016,SOS_CODE_2016,SOS_NAME_2016,AREA_ALBERS_SQKM_2016,UCL_CODE_2021,UCL_NAME_2021,SOSR_CODE_2021,SOSR_NAME_2021,SOS_CODE_2021,SOS_NAME_2021,AREA_ALBERS_SQKM_2021,Reason for change
1407,421044,Yorketown (L),421.0,500 or more,42.0,Bounded Locality,1.5157,421043.0,Yorketown (L),421.0,500 or more,42.0,Bounded Locality,1.5157,
1408,422001,Allendale East (L),422.0,200 to 499,42.0,Bounded Locality,0.5885,422001.0,Allendale East (L),422.0,499 or less,42.0,Bounded Locality,0.5885,
1409,422002,Amata (L),422.0,200 to 499,42.0,Bounded Locality,11.248,422002.0,Amata (L),422.0,499 or less,42.0,Bounded Locality,11.248,
1410,422003,American River (L),422.0,200 to 499,42.0,Bounded Locality,1.8197,422003.0,American River (L),422.0,499 or less,42.0,Bounded Locality,1.8228,
1411,422004,Andamooka Opal Fields (L),422.0,200 to 499,42.0,Bounded Locality,2.4029,422004.0,Andamooka (L),422.0,499 or less,42.0,Bounded Locality,2.4029,Name Change
1412,422005,Arno Bay (L),422.0,200 to 499,42.0,Bounded Locality,1.7185,422005.0,Arno Bay (L),422.0,499 or less,42.0,Bounded Locality,1.7185,
1413,422006,Auburn (L),422.0,200 to 499,42.0,Bounded Locality,0.8694,422006.0,Auburn (L),422.0,499 or less,42.0,Bounded Locality,0.8694,
1414,422008,Blanchetown (L),422.0,200 to 499,42.0,Bounded Locality,2.4701,422007.0,Blanchetown (L),422.0,499 or less,42.0,Bounded Locality,2.4701,
1415,422009,Blyth (L),422.0,200 to 499,42.0,Bounded Locality,1.0471,422008.0,Blyth (L),422.0,499 or less,42.0,Bounded Locality,1.0471,
1416,422010,Booleroo Centre (L),422.0,200 to 499,42.0,Bounded Locality,1.5374,422009.0,Booleroo Centre (L),422.0,499 or less,42.0,Bounded Locality,1.5374,
1417,422011,Boston (L),422.0,200 to 499,42.0,Bounded Locality,2.5013,422010.0,Boston (L),422.0,499 or less,42.0,Bounded Locality,2.5013,
1418,422012,Bute (L),422.0,200 to 499,42.0,Bounded Locality,0.8114,422011.0,Bute (L),422.0,499 or less,42.0,Bounded Locality,0.8114,
1419,422013,Callington (L),422.0,200 to 499,42.0,Bounded Locality,1.9267,422012.0,Callington (L),422.0,499 or less,42.0,Bounded Locality,1.9267,
1420,422014,Charleston (L),422.0,200 to 499,42.0,Bounded Locality,0.4306,422013.0,Charleston (L),422.0,499 or less,42.0,Bounded Locality,0.4306,
1421,422015,Clarendon (L),422.0,200 to 499,42.0,Bounded Locality,0.567,422014.0,Clarendon (L),422.0,499 or less,42.0,Bounded Locality,0.567,
1422,422016,Clayton Bay (L),422.0,200 to 499,42.0,Bounded Locality,2.9928,422015.0,Clayton Bay (L),422.0,499 or less,42.0,Bounded Locality,2.9928,
1423,422017,Cobdogla (L),422.0,200 to 499,42.0,Bounded Locality,0.5115,422016.0,Cobdogla (L),422.0,499 or less,42.0,Bounded Locality,0.5115,
1424,422018,Coobowie (L),422.0,200 to 499,42.0,Bounded Locality,0.7448,422017.0,Coobowie (L),422.0,499 or less,42.0,Bounded Locality,0.7448,
1425,422019,Coonalpyn (L),422.0,200 to 499,42.0,Bounded Locality,1.4462,422018.0,Coonalpyn (L),422.0,499 or less,42.0,Bounded Locality,1.4462,
1426,422021,Edithburgh (L),422.0,200 to 499,42.0,Bounded Locality,3.8175,422019.0,Edithburgh (L),422.0,499 or less,42.0,Bounded Locality,3.8175,
1427,422022,Elliston (L),422.0,200 to 499,42.0,Bounded Locality,5.2971,422020.0,Elliston (L),422.0,499 or less,42.0,Bounded Locality,5.2971,
1428,422023,Hawker (L),422.0,200 to 499,42.0,Bounded Locality,12.971,422021.0,Hawker (L),422.0,499 or less,42.0,Bounded Locality,12.971,
1429,422025,Indulkana (L),422.0,200 to 499,42.0,Bounded Locality,10.187,422022.0,Indulkana (L),422.0,499 or less,42.0,Bounded Locality,10.187,
1430,422026,Kalangadoo (L),422.0,200 to 499,42.0,Bounded Locality,1.1789,422023.0,Kalangadoo (L),422.0,499 or less,42.0,Bounded Locality,1.1789,
1431,422027,Kaltjiti (Fregon) (L),422.0,200 to 499,42.0,Bounded Locality,24.1815,422024.0,Kaltjiti (Fregon) (L),422.0,499 or less,42.0,Bounded Locality,24.1815,
1432,422028,Karoonda (L),422.0,200 to 499,42.0,Bounded Locality,1.8631,422025.0,Karoonda (L),422.0,499 or less,42.0,Bounded Locality,1.8631,
1433,422029,Kersbrook (L),422.0,200 to 499,42.0,Bounded Locality,0.7836,422026.0,Kersbrook (L),422.0,499 or less,42.0,Bounded Locality,0.7836,
1434,422031,Leigh Creek (L),422.0,200 to 499,42.0,Bounded Locality,12.0316,422027.0,Leigh Creek (L),422.0,499 or less,42.0,Bounded Locality,12.0316,
1435,422032,Lucindale (L),422.0,200 to 499,42.0,Bounded Locality,1.5709,422028.0,Lucindale (L),422.0,499 or less,42.0,Bounded Locality,1.5709,
1436,422033,Mimili (L),422.0,200 to 499,42.0,Bounded Locality,12.7739,422029.0,Mimili (L),422.0,499 or less,42.0,Bounded Locality,12.7739,
1437,422034,Morgan (L),422.0,200 to 499,42.0,Bounded Locality,1.4254,422030.0,Morgan (L),422.0,499 or less,42.0,Bounded Locality,1.4254,
1438,422035,Mount Burr (L),422.0,200 to 499,42.0,Bounded Locality,0.4869,422031.0,Mount Burr (L),422.0,499 or less,42.0,Bounded Locality,0.4869,
1439,422036,Mount Torrens (L),422.0,200 to 499,42.0,Bounded Locality,0.4266,422032.0,Mount Torrens (L),422.0,499 or less,42.0,Bounded Locality,0.4266,
1440,422037,Mullaquana (L),422.0,200 to 499,42.0,Bounded Locality,8.7702,422033.0,Mullaquana (L),422.0,499 or less,42.0,Bounded Locality,8.7702,
1441,422038,Mundulla (L),422.0,200 to 499,42.0,Bounded Locality,6.1306,422034.0,Mundulla (L),422.0,499 or less,42.0,Bounded Locality,6.1306,
1442,422039,Myponga (L),422.0,200 to 499,42.0,Bounded Locality,0.5196,422035.0,Myponga (L),422.0,499 or less,42.0,Bounded Locality,0.5196,
1443,422040,Nangwarry (L),422.0,200 to 499,42.0,Bounded Locality,0.8212,422036.0,Nangwarry (L),422.0,499 or less,42.0,Bounded Locality,0.8212,
1444,422041,Napperby (L),422.0,200 to 499,42.0,Bounded Locality,0.5607,422037.0,Napperby (L),422.0,499 or less,42.0,Bounded Locality,0.5607,
1445,422042,Owen (L),422.0,200 to 499,42.0,Bounded Locality,1.1107,422038.0,Owen (L),422.0,499 or less,42.0,Bounded Locality,1.1107,
1446,422043,Parham (L),422.0,200 to 499,42.0,Bounded Locality,2.3788,422039.0,Parham (L),422.0,499 or less,42.0,Bounded Locality,2.3788,
1447,422044,Penneshaw (L),422.0,200 to 499,42.0,Bounded Locality,5.1045,422040.0,Penneshaw (L),422.0,499 or less,42.0,Bounded Locality,5.1045,
1448,422045,Point Turton (L),422.0,200 to 499,42.0,Bounded Locality,0.9928,422041.0,Point Turton (L),422.0,499 or less,42.0,Bounded Locality,0.9928,
1449,422046,Port Germein (L),422.0,200 to 499,42.0,Bounded Locality,2.7307,422042.0,Port Germein (L),422.0,499 or less,42.0,Bounded Locality,2.7307,
